,Unnamed: 0,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,0,41564.53508,204206.635,51.86303997530855,76.16864269733321,82.14244881351618,98.59961469811118,95.70474571678874,2001,-517.4520929385486
1,1,41548.70351,204311.6093,79.3282849175801,66.09374039190733,81.68242803212114,83.05121261708389,98.61477802963032,2002,-517.4520929385486
2,2,41589.68646,204167.8156,72.76351306996115,63.9773035944626,77.22469521235412,91.87259625921912,88.04233880382507,2003,-517.4520929385486
3,3,41668.92012,204238.2888,89.74205594735608,73.63465284966256,71.50109147006953,80.56862209775937,96.99421823680872,2004,-517.4520929385486
4,4,41521.64592,204334.5815,73.91578937768053,93.10698500017875,50.9245002106108,87.9593572841625,91.96657556683576,2005,-517.4520929385486
5,5,41617.05436,204259.0171,45.86053371084044,91.74562021901448,95.6746569182648,96.92787797536704,92.386393221112,2006,-517.4520929385486
6,6,41576.95294,204271.2311,79.21461397018999,81.49365541948524,78.25568034882359,87.74866671764022,79.5389481230566,2007,-517.4520929385486
7,7,41533.54743,204357.0333,79.68754763520792,92.62639788057902,68.57766088839237,77.03884975284336,89.52942534547418,2008,-517.4520929385486
8,8,41642.94946,204299.055,56.0638792243592,89.0767987277529,80.10995537153204,91.32404496553752,89.86767920547555,2009,-517.4520929385486
9,9,41701.0223,204261.7069,65.39178738713814,91.08643877720054,74.00315549839982,61.33669377680332,83.06304573211914,2010,-517.4520929385486
10,10,41513.61527,204286.1329,95.54718938411489,94.5775042262249,64.21942981144805,82.10289646908689,81.00146905965,2011,-517.4520929385486
11,11,41619.48192,204273.3088,64.00557977654738,81.6937461357872,85.5653514468932,94.08715645777706,98.45711003368189,2012,-517.4520929385486
12,12,41684.4859,204247.3604,90.24171545830664,95.19690800305416,68.0741653180911,87.76960896565119,96.10302656885708,2013,-517.4520929385486
13,13,41591.14582,204181.2118,71.87996132647523,65.41783513788472,88.10670286402207,80.15859422538512,87.94090838330744,2014,-517.4520929385486
14,14,41563.2081,204364.9004,95.478883745758,68.48594936371543,70.16062605204355,68.96026639133866,93.67613935180054,2015,-517.4520929385486
