,cll,percent,fs_emp,Minimization_Method,Alpha,Det,R2,RMSE,0R2,0RMSE
0,0.24,16,FSeq,L-BFGS-B,0.07,LT,-11.716,0.304,-2.267,0.266
1,0.24,16,FSeq,L-BFGS-B,0.07,LS,-11.542,0.3,-2.081,0.256
2,0.24,16,FSeq,L-BFGS-B,0.07,ID,-12.982,0.321,-1.356,0.237
3,0.24,16,FSeq,L-BFGS-B,0.2,LT,-14.54,0.336,-1.689,0.249
4,0.24,16,FSeq,L-BFGS-B,0.2,LS,-14.743,0.336,-1.623,0.246
5,0.24,16,FSeq,L-BFGS-B,0.2,ID,-16.02,0.354,-0.997,0.205
6,0.24,16,FSeq,ROPE,0.07,LT,-10.69,0.3,-0.584,0.191
7,0.24,16,FSeq,ROPE,0.07,LS,-11.71,0.305,-0.319,0.172
8,0.24,16,FSeq,ROPE,0.07,ID,-15.074,0.35,-0.6,0.184
9,0.24,16,FSeq,ROPE,0.2,LT,-10.585,0.296,-1.084,0.215
10,0.24,16,FSeq,ROPE,0.2,LS,-10.928,0.296,-0.672,0.195
11,0.24,16,FSeq,ROPE,0.2,ID,-14.599,0.334,-0.555,0.185
12,0.24,16,FSlin,L-BFGS-B,0.07,LT,-11.716,0.304,-2.267,0.266
13,0.24,16,FSlin,L-BFGS-B,0.07,LS,-11.542,0.3,-2.081,0.256
14,0.24,16,FSlin,L-BFGS-B,0.07,ID,-12.982,0.321,-1.356,0.237
15,0.24,16,FSlin,L-BFGS-B,0.2,LT,-14.54,0.336,-1.689,0.249
16,0.24,16,FSlin,L-BFGS-B,0.2,LS,-14.743,0.336,-1.623,0.246
17,0.24,16,FSlin,L-BFGS-B,0.2,ID,-16.02,0.354,-0.997,0.205
18,0.24,16,FSlin,ROPE,0.07,LT,-11.544,0.305,-0.89,0.206
19,0.24,16,FSlin,ROPE,0.07,LS,-11.849,0.31,-0.506,0.184
20,0.24,16,FSlin,ROPE,0.07,ID,-15.262,0.352,-0.948,0.204
21,0.24,16,FSlin,ROPE,0.2,LT,-12.761,0.313,-0.866,0.212
22,0.24,16,FSlin,ROPE,0.2,LS,-13.092,0.315,-0.628,0.192
23,0.24,16,FSlin,ROPE,0.2,ID,-15.744,0.354,-0.692,0.185
24,0.24,20,FSeq,L-BFGS-B,0.07,LT,-11.716,0.304,-2.267,0.266
25,0.24,20,FSeq,L-BFGS-B,0.07,LS,-11.542,0.3,-2.081,0.256
